Rk,Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Alperen Sengun,HOU,C,63,63,32.5,8.4,15.6,0.537,0.5,1.8,0.297,7.8,13.8,0.567,0.553,3.9,5.6,2.9,6.4,9.3,5,1.2,0.7,2.6,3.3,21.1
42,Miles Bridges,CHO,SF,69,67,37.4,8.1,17.5,0.462,2.3,6.5,0.349,5.8,11,0.529,0.527,2.5,3.1,1,6.3,7.3,3.3,0.9,0.5,2,1.7,21
43,Jerami Grant,POR,PF,54,54,33.9,7.1,15.7,0.451,2.1,5.1,0.402,5,10.6,0.474,0.516,4.7,5.8,0.7,2.9,3.5,2.8,0.8,0.6,2.1,2.2,21
44,Tyler Herro,MIA,SG,42,40,33.5,7.7,17.5,0.441,3.1,7.9,0.396,4.6,9.6,0.478,0.531,2.3,2.6,0.5,4.8,5.3,4.5,0.7,0.1,2.2,1.5,20.8
45,Brandon Ingram,NOP,SF,64,64,32.9,7.8,15.9,0.492,1.3,3.8,0.355,6.5,12.1,0.534,0.534,3.8,4.8,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8
46,Jimmy Butler,MIA,PF,60,60,34,6.6,13.2,0.499,1,2.4,0.414,5.6,10.8,0.519,0.537,6.6,7.7,1.8,3.6,5.3,5,1.3,0.3,1.7,1.1,20.8
47,RJ Barrett,2TM,SG,58,58,31.7,7.5,15.2,0.495,1.6,4.3,0.36,6,10.9,0.549,0.547,3.6,5,0.9,4.5,5.4,3.3,0.5,0.4,2.2,2.2,20.2
48,Tyrese Haliburton,IND,PG,69,68,32.2,7.2,15.2,0.477,2.8,7.8,0.364,4.4,7.4,0.595,0.57,2.8,3.3,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.1
49,Kristaps Porzingis,BOS,C,57,57,29.6,6.8,13.2,0.516,1.9,5.1,0.375,4.9,8.1,0.606,0.589,4.5,5.3,1.7,5.5,7.2,2,0.7,1.9,1.6,2.7,20.1
50,CJ McCollum,NOP,PG,66,66,32.7,7.3,16,0.459,3.6,8.4,0.429,3.7,7.5,0.492,0.572,1.7,2.1,0.6,3.7,4.3,4.6,0.9,0.6,1.7,1.9,20
51,Scottie Barnes,TOR,SG,60,60,34.9,7.5,15.7,0.475,1.7,4.9,0.341,5.8,10.8,0.536,0.528,3.3,4.2,2.4,5.9,8.2,6.1,1.3,1.5,2.8,2,19.9
52,Terry Rozier,2TM,SG,61,60,33.4,7.2,16.4,0.443,2.4,6.7,0.363,4.8,9.6,0.498,0.518,2.8,3.2,0.6,3.5,4,5.6,1,0.3,1.7,1.7,19.8
53,Franz Wagner,ORL,SF,72,72,32.5,7.3,15.2,0.482,1.3,4.6,0.281,6,10.6,0.57,0.525,3.8,4.4,1,4.3,5.3,3.7,1.1,0.4,1.9,2.3,19.7
54,Jalen Green,HOU,SG,82,82,31.7,6.9,16.2,0.423,2.5,7.4,0.332,4.4,8.9,0.498,0.498,3.5,4.3,0.5,4.7,5.2,3.5,0.8,0.3,2.3,1.4,19.6
55,Mikal Bridges,BRK,SF,82,82,34.8,6.9,15.8,0.436,2.7,7.2,0.372,4.2,8.6,0.49,0.521,3.1,3.9,0.8,3.7,4.5,3.6,1,0.4,2,1.4,19.6
56,Zach LaVine,CHI,SG,25,23,34.9,6.8,15,0.452,2.4,6.8,0.349,4.4,8.3,0.536,0.531,3.5,4.1,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5
